FAQ ID,Question,Answer,Category,Last Updated Date,Status,Related Links,Tags,FAQ Views,Related Articles,FAQ Type,Language,FAQ Author
ZP813L5H,How can I get a refund?,Orders can be canceled within 24 hours.,Returns,2023-12-01,Active,www.example.com/J7P0X,"KT8K9,HF5B8",414,Article_8K7OE,Product-related,Spanish,Author_FNORO
YVBO1CE7,How can I get a refund?,Refund is processed in 3-5 business days.,Shipping,2023-12-01,Inactive,www.example.com/FPEUC,"2A533,IZ3U6",563,Article_TVBIE,Product-related,English,Author_NR03Y
U9V5LGI0,How can I get a refund?,Orders can be canceled within 24 hours.,Returns,2023-12-20,Active,www.example.com/IC9XX,"Y44RK,5WQPK",706,Article_1BGJZ,General,French,Author_N1OBK
2RUD4T2R,How can I get a refund?,Refund is processed in 3-5 business days.,Order Management,2023-12-01,Active,www.example.com/DQS6T,"IYF6U,DGVTU",744,Article_W350X,Product-related,French,Author_5GZSE
NAKWBBLE,How to track my order?,Visit your account page.,Shipping,2023-12-20,Inactive,www.example.com/FYYO6,"J8C04,RMT58",103,Article_7W684,Product-related,French,Author_DXZX7
129FOQLK,How to track my order?,Orders can be canceled within 24 hours.,Order Management,2023-12-20,Inactive,www.example.com/QL70D,"GU55B,EDN4J",369,Article_J0RVM,Product-related,Spanish,Author_VT0Q4
UMPH2NKF,How can I get a refund?,Visit your account page.,Order Management,2023-12-01,Active,www.example.com/RUORB,"CE9TA,B7SWT",190,Article_KG39U,Product-related,Spanish,Author_J1JRX
O80XCBD8,How can I get a refund?,Visit your account page.,Returns,2023-12-01,Inactive,www.example.com/0RWP3,"LN0SX,5W2PG",268,Article_1XCTX,Product-related,English,Author_ND13T
IMSSEJ6L,How can I get a refund?,Refund is processed in 3-5 business days.,Returns,2023-12-01,Active,www.example.com/Y2JXN,"CUJQA,FTOGP",853,Article_OC7VA,Product-related,Spanish,Author_9A5L7
ZSQGNIFK,How to track my order?,Visit your account page.,Shipping,2023-12-20,Active,www.example.com/NOKEF,"RZUQY,4DMXC",419,Article_VD6KW,Product-related,English,Author_VZ22M
GFXC3WWR,How to track my order?,Visit your account page.,Returns,2023-12-01,Active,www.example.com/SFTJX,"TYAJ4,6AH7H",528,Article_2SBA0,General,Spanish,Author_ET36U
3LXUYRSM,How do I cancel my order?,Orders can be canceled within 24 hours.,Order Management,2023-12-01,Active,www.example.com/BWI1K,"L7450,R3559",742,Article_B7TN3,General,French,Author_82Q07
0RXMTV8Y,How can I get a refund?,Refund is processed in 3-5 business days.,Order Management,2023-12-01,Inactive,www.example.com/G0XCG,"XGCCU,4VHLL",182,Article_5Z6YA,General,French,Author_9MR17
6V9A6GK6,How do I cancel my order?,Refund is processed in 3-5 business days.,Order Management,2023-12-10,Inactive,www.example.com/X7VLY,"R3SUX,W39FM",828,Article_H3OXM,General,Spanish,Author_8QBYK
TNHMKXLL,How can I get a refund?,Refund is processed in 3-5 business days.,Order Management,2023-12-10,Inactive,www.example.com/6N78Y,"IH575,5IIWN",635,Article_LY3NJ,Product-related,French,Author_M01PV
G79DM251,How can I get a refund?,Refund is processed in 3-5 business days.,Order Management,2023-12-10,Inactive,www.example.com/QPR9H,"D56O4,EI7BY",992,Article_DGHIB,General,English,Author_0H9JZ
GDLGB4TS,How to track my order?,Refund is processed in 3-5 business days.,Order Management,2023-12-10,Inactive,www.example.com/B3GFN,"8GBJN,0T43G",871,Article_OCD65,Product-related,French,Author_DCLEP
1KEZ7IPN,How can I get a refund?,Visit your account page.,Shipping,2023-12-20,Inactive,www.example.com/JRQDS,"5W8ET,JNFOP",736,Article_2POAM,General,English,Author_TWDGB
3TEWA1OP,How to track my order?,Refund is processed in 3-5 business days.,Order Management,2023-12-10,Inactive,www.example.com/WP8V0,"QK480,5O5CJ",581,Article_B4FOF,General,Spanish,Author_LSLL8
ISW5L10O,How do I cancel my order?,Refund is processed in 3-5 business days.,Order Management,2023-12-20,Inactive,www.example.com/NKU0A,"PS5CW,F7X4P",139,Article_7NI2C,Product-related,Spanish,Author_R5DV0
IAIBVMAB,How can I get a refund?,Visit your account page.,Shipping,2023-12-20,Active,www.example.com/CB4Q8,"PX8W1,XSXHK",609,Article_55ZRX,General,Spanish,Author_GQ8P9
NNRH738A,How can I get a refund?,Orders can be canceled within 24 hours.,Shipping,2023-12-01,Active,www.example.com/GKQZN,"585D3,ZDYP9",512,Article_8FX6T,General,English,Author_4D8FH
ST4ONKMR,How do I cancel my order?,Refund is processed in 3-5 business days.,Order Management,2023-12-20,Active,www.example.com/RN2Z2,"D6OXD,3Z0L1",130,Article_KIV0P,General,Spanish,Author_C206H
MC7I8H1G,How can I get a refund?,Visit your account page.,Returns,2023-12-20,Active,www.example.com/UGGXY,"C63ZN,F9EM0",878,Article_G56A8,Product-related,English,Author_O7855
9T8Q9B58,How can I get a refund?,Orders can be canceled within 24 hours.,Shipping,2023-12-01,Inactive,www.example.com/ZGKP0,"4G2C7,XK1TP",947,Article_1B7D1,General,Spanish,Author_630G4
JI24EDSN,How to track my order?,Orders can be canceled within 24 hours.,Returns,2023-12-01,Active,www.example.com/ASDGP,"ZAK73,7MJKW",507,Article_JWTO7,General,Spanish,Author_BSHFU
D78I58VT,How do I cancel my order?,Refund is processed in 3-5 business days.,Order Management,2023-12-01,Inactive,www.example.com/5VYDH,"N41ET,MINI6",651,Article_31QLG,General,Spanish,Author_ZPUE7
RFS74VKI,How can I get a refund?,Refund is processed in 3-5 business days.,Shipping,2023-12-10,Active,www.example.com/RID14,"XW8ZI,Q892V",370,Article_6V64F,Product-related,Spanish,Author_WOXP0
2JMDYRC5,How to track my order?,Visit your account page.,Order Management,2023-12-20,Inactive,www.example.com/W0T59,"EORGW,ECPSI",463,Article_I5RCX,Product-related,English,Author_MWFFV
2MJ8FVB7,How can I get a refund?,Orders can be canceled within 24 hours.,Shipping,2023-12-01,Inactive,www.example.com/G1QB7,"UY5PN,WUB0V",307,Article_YZDFR,Product-related,English,Author_HS14F
MF5ZMFAL,How can I get a refund?,Orders can be canceled within 24 hours.,Shipping,2023-12-01,Inactive,www.example.com/WFX35,"05W94,R6NMW",453,Article_J4L1B,Product-related,French,Author_2X4B3
2Y4YZP1A,How do I cancel my order?,Orders can be canceled within 24 hours.,Returns,2023-12-01,Active,www.example.com/V68G6,"Q59G2,GGOMH",531,Article_K0PN5,Product-related,Spanish,Author_QGTM2
CBJ8RJ3R,How can I get a refund?,Orders can be canceled within 24 hours.,Shipping,2023-12-20,Inactive,www.example.com/M60LV,"BCXMI,4POS6",453,Article_81ZP6,Product-related,English,Author_53YRG
SJERTOZZ,How can I get a refund?,Refund is processed in 3-5 business days.,Shipping,2023-12-10,Active,www.example.com/0UV1F,"L0MVN,DBWJY",744,Article_BDHDD,Product-related,French,Author_R6YO7
XZ1SBNNU,How do I cancel my order?,Orders can be canceled within 24 hours.,Shipping,2023-12-10,Inactive,www.example.com/1Y4CZ,"OP50B,CL8XJ",445,Article_XVQAO,Product-related,French,Author_J1TIP
7PII4JV6,How to track my order?,Visit your account page.,Returns,2023-12-10,Active,www.example.com/8MW68,"06JZ1,FBO23",397,Article_6DOQ3,General,French,Author_1JKTQ
Z3JMST2U,How to track my order?,Visit your account page.,Returns,2023-12-01,Active,www.example.com/8RJ5F,"8CZ0S,HXNLY",479,Article_WMSVI,General,Spanish,Author_YN63I
2CSIVFFW,How can I get a refund?,Refund is processed in 3-5 business days.,Order Management,2023-12-10,Inactive,www.example.com/YK5IT,"FM3RF,PYDTC",764,Article_BMKOG,General,French,Author_36CUB
0LJAQU0X,How can I get a refund?,Visit your account page.,Returns,2023-12-10,Inactive,www.example.com/ADPJM,"S45Q1,OB39S",722,Article_8PX7J,General,English,Author_3XKAL
NYZKU2HW,How to track my order?,Visit your account page.,Shipping,2023-12-20,Inactive,www.example.com/E5MAA,"1YQB2,OREMD",765,Article_ERGMH,General,French,Author_V24BM
MKRTCRJ6,How to track my order?,Orders can be canceled within 24 hours.,Returns,2023-12-10,Active,www.example.com/3A05F,"VGC6O,HMV7M",926,Article_60TWA,Product-related,Spanish,Author_Z6CR8
X3KOS6XM,How can I get a refund?,Refund is processed in 3-5 business days.,Order Management,2023-12-01,Inactive,www.example.com/MF9T0,"VAO0Z,D6DCL",103,Article_KR01E,General,Spanish,Author_6RFWS
G9SYJE6T,How can I get a refund?,Refund is processed in 3-5 business days.,Order Management,2023-12-20,Active,www.example.com/P1RIR,"VGZYU,ZC4TC",610,Article_OGT0G,Product-related,Spanish,Author_443WH
LMY01E6I,How can I get a refund?,Visit your account page.,Returns,2023-12-01,Active,www.example.com/KZOOW,"C3P3U,YR3EZ",646,Article_M8XQX,General,French,Author_4XQVI
Q97PS8C3,How to track my order?,Visit your account page.,Order Management,2023-12-10,Inactive,www.example.com/1CRRN,"F2P75,4BI35",763,Article_3R8UG,General,Spanish,Author_YXWMN
32U5MFB3,How can I get a refund?,Orders can be canceled within 24 hours.,Shipping,2023-12-01,Inactive,www.example.com/OXF5Z,"G3E1J,MQEPB",975,Article_W8GAC,Product-related,Spanish,Author_DB2BJ
C90OHL56,How can I get a refund?,Visit your account page.,Returns,2023-12-20,Active,www.example.com/3IHJ2,"Z9D6V,8FBS4",190,Article_6S52X,Product-related,French,Author_PLWAW
ZC9N30Y6,How to track my order?,Visit your account page.,Shipping,2023-12-10,Inactive,www.example.com/XNDTP,"NKKA8,PAR5W",633,Article_8OFFT,Product-related,French,Author_IZZ7T
SY79SPLP,How can I get a refund?,Orders can be canceled within 24 hours.,Order Management,2023-12-20,Inactive,www.example.com/871E6,"TJ7W3,VMLUP",186,Article_16C2X,Product-related,French,Author_1MQOO
S7YKN2T9,How can I get a refund?,Refund is processed in 3-5 business days.,Shipping,2023-12-01,Inactive,www.example.com/QNKQP,"XTY3V,5NASS",338,Article_K2DSK,General,Spanish,Author_GXOWC
EUCB4MUR,How to track my order?,Refund is processed in 3-5 business days.,Returns,2023-12-20,Inactive,www.example.com/88KAW,"2A3RY,HB5OT",238,Article_B996V,Product-related,French,Author_K1QMW
POQI2QL0,How to track my order?,Visit your account page.,Shipping,2023-12-10,Inactive,www.example.com/IUFWQ,"07BU0,11VIO",608,Article_N5YD2,General,English,Author_3PP4W
QUJPKLSW,How to track my order?,Orders can be canceled within 24 hours.,Order Management,2023-12-01,Inactive,www.example.com/6PLWL,"MZD1P,1QOTI",311,Article_PYVJ5,Product-related,French,Author_WEN4Q
IW16UVLF,How to track my order?,Refund is processed in 3-5 business days.,Returns,2023-12-20,Active,www.example.com/52JA3,"DJX4P,QBUKQ",130,Article_GYF8U,Product-related,French,Author_KU0V6
CE9Z4ABP,How do I cancel my order?,Visit your account page.,Order Management,2023-12-01,Inactive,www.example.com/C1QPH,"7KGWN,IAUN8",550,Article_U5013,General,French,Author_0LIAA
1HGG8Y9G,How do I cancel my order?,Refund is processed in 3-5 business days.,Shipping,2023-12-20,Active,www.example.com/GHOEQ,"R078J,374A9",557,Article_FLO06,Product-related,English,Author_UAXCQ
DKVPFUAS,How can I get a refund?,Visit your account page.,Returns,2023-12-01,Active,www.example.com/FV60U,"VW10A,P8AS7",327,Article_1EP8R,General,French,Author_P1S3E
FYY18KAG,How do I cancel my order?,Orders can be canceled within 24 hours.,Shipping,2023-12-20,Active,www.example.com/DJ9MN,"DXFGJ,L012J",737,Article_T73SZ,Product-related,English,Author_GUSGX
D0ICMN36,How can I get a refund?,Visit your account page.,Order Management,2023-12-01,Active,www.example.com/UD5PA,"K3IHZ,RAUQJ",584,Article_TZX57,Product-related,Spanish,Author_4LST9
OM70TBJN,How do I cancel my order?,Refund is processed in 3-5 business days.,Returns,2023-12-10,Active,www.example.com/UKM1L,"3X9PI,IZ1WZ",484,Article_HYTHE,General,French,Author_A7POE
TNUKVXCH,How do I cancel my order?,Refund is processed in 3-5 business days.,Order Management,2023-12-01,Active,www.example.com/64QQ6,"3NMM9,NB0QC",493,Article_S5SB3,Product-related,French,Author_2ZZN6
5I9LS98J,How can I get a refund?,Orders can be canceled within 24 hours.,Order Management,2023-12-20,Active,www.example.com/JA50F,"T7OD6,AWLSQ",931,Article_ERLS1,General,Spanish,Author_2NQPI
97ACYLH2,How can I get a refund?,Orders can be canceled within 24 hours.,Shipping,2023-12-01,Inactive,www.example.com/KK69B,"04MRE,WAYA0",941,Article_55NJU,General,Spanish,Author_9N1RF
MUTAUJTB,How do I cancel my order?,Refund is processed in 3-5 business days.,Shipping,2023-12-10,Active,www.example.com/J93WH,"DQTF7,NWJJG",427,Article_FXK12,Product-related,French,Author_RJVED
NUK0YSQA,How can I get a refund?,Refund is processed in 3-5 business days.,Shipping,2023-12-01,Active,www.example.com/91KCB,"EGY6C,QC3BN",833,Article_JFE39,Product-related,English,Author_6ZC3Y
GLGY46IX,How do I cancel my order?,Orders can be canceled within 24 hours.,Order Management,2023-12-10,Inactive,www.example.com/9PQDA,"ZE91J,V8TMP",752,Article_EYIM2,General,English,Author_JWJJR
X855PEV6,How can I get a refund?,Visit your account page.,Returns,2023-12-20,Inactive,www.example.com/RBY9H,"DH8N1,F95XH",962,Article_Y9ZYK,General,French,Author_UTQMB
DFSGEDFJ,How do I cancel my order?,Refund is processed in 3-5 business days.,Order Management,2023-12-10,Inactive,www.example.com/7MYJZ,"DRJH7,XOMCT",208,Article_KJPIQ,General,French,Author_UU8KM
C1B6LRCM,How do I cancel my order?,Refund is processed in 3-5 business days.,Order Management,2023-12-10,Inactive,www.example.com/BRIZM,"SS2ED,0LK8B",456,Article_JTNAQ,Product-related,Spanish,Author_Q43A6
PM0EDOML,How do I cancel my order?,Refund is processed in 3-5 business days.,Returns,2023-12-01,Inactive,www.example.com/0J1CJ,"5LFP6,VVM22",756,Article_RKCGE,Product-related,English,Author_EMXN1
CHOZBGSI,How to track my order?,Orders can be canceled within 24 hours.,Order Management,2023-12-10,Inactive,www.example.com/0H81H,"LNXTQ,L1ID5",889,Article_0VO3F,Product-related,English,Author_FPKI7
NICIY460,How to track my order?,Refund is processed in 3-5 business days.,Order Management,2023-12-20,Active,www.example.com/OFT9Z,"QTJPC,U7G27",539,Article_9AQ0T,General,French,Author_UR6VX
E6BTUNG3,How to track my order?,Visit your account page.,Order Management,2023-12-01,Active,www.example.com/CDD7R,"CVVIG,EI9PN",405,Article_1091H,Product-related,French,Author_FRLSF
2V13PSE4,How do I cancel my order?,Refund is processed in 3-5 business days.,Returns,2023-12-01,Active,www.example.com/2LC7A,"E01KG,CTC70",938,Article_GNY6V,Product-related,Spanish,Author_34BRM
HN8DA0WQ,How to track my order?,Refund is processed in 3-5 business days.,Returns,2023-12-01,Active,www.example.com/STXS0,"SPYDS,G93PN",111,Article_2X9KG,Product-related,English,Author_2Y9FB
Y4WXFKP3,How do I cancel my order?,Refund is processed in 3-5 business days.,Shipping,2023-12-20,Active,www.example.com/YIZZC,"JCJE3,WITR2",557,Article_WP72J,General,French,Author_0IZ4R
EU02LYGD,How to track my order?,Visit your account page.,Order Management,2023-12-10,Inactive,www.example.com/AKJD6,"GOHU2,K83OA",411,Article_P3NN4,Product-related,Spanish,Author_73JM6
YK6OYZ6I,How can I get a refund?,Visit your account page.,Returns,2023-12-01,Inactive,www.example.com/F0E1K,"RXC4N,AP7QS",645,Article_BAEFJ,Product-related,French,Author_PRKVW
3UL2Y6YU,How do I cancel my order?,Refund is processed in 3-5 business days.,Shipping,2023-12-10,Inactive,www.example.com/NKHZ3,"4CQRQ,HU53Y",737,Article_CUZN2,Product-related,English,Author_QPP9Z
F9DF2MKW,How to track my order?,Refund is processed in 3-5 business days.,Returns,2023-12-10,Inactive,www.example.com/YWPPH,"X3TUC,0VAIG",872,Article_T6GWO,General,Spanish,Author_KB1EO
NED6WIVG,How to track my order?,Visit your account page.,Shipping,2023-12-01,Active,www.example.com/S8Z2Y,"DJ15Z,FSBSR",227,Article_C1O3C,Product-related,Spanish,Author_P2MSN
JTBLOLSZ,How to track my order?,Refund is processed in 3-5 business days.,Returns,2023-12-10,Active,www.example.com/JUB0S,"2HRF4,0I06I",408,Article_FXM3V,Product-related,Spanish,Author_CJWBB
BJSW16QA,How do I cancel my order?,Refund is processed in 3-5 business days.,Returns,2023-12-01,Inactive,www.example.com/006BR,"HUJRE,Q2K9Q",449,Article_703SM,General,English,Author_IAIM4
XUIH7VJ4,How can I get a refund?,Refund is processed in 3-5 business days.,Order Management,2023-12-20,Active,www.example.com/G030T,"4ZNFO,GV18M",550,Article_HK4TO,General,French,Author_56B53
01ZGCM6V,How can I get a refund?,Visit your account page.,Returns,2023-12-20,Inactive,www.example.com/LJSJ7,"JTFLZ,LAXFA",997,Article_VGLD1,General,French,Author_1JCCK
5BBLYDHU,How do I cancel my order?,Visit your account page.,Order Management,2023-12-10,Active,www.example.com/8QI2X,"Z3O42,925YE",422,Article_S6M7Q,Product-related,Spanish,Author_WTNM3
ZKVMPYLR,How do I cancel my order?,Visit your account page.,Order Management,2023-12-01,Active,www.example.com/931A3,"TFPZ2,P3YDN",941,Article_JQE05,General,French,Author_NRP69
A11DXS65,How do I cancel my order?,Refund is processed in 3-5 business days.,Returns,2023-12-01,Active,www.example.com/HIYDC,"YZNRZ,Y5CTN",907,Article_9EVGR,General,English,Author_LT64P
YCHSI56S,How can I get a refund?,Refund is processed in 3-5 business days.,Shipping,2023-12-10,Inactive,www.example.com/2IZK1,"7D8EE,O19NL",899,Article_TPMTC,General,French,Author_BFORL
4HNQB8PV,How can I get a refund?,Refund is processed in 3-5 business days.,Returns,2023-12-10,Inactive,www.example.com/ESWEH,"JJ34D,W8NT4",539,Article_C7N78,General,English,Author_69A9P
9O0IU772,How to track my order?,Orders can be canceled within 24 hours.,Shipping,2023-12-10,Active,www.example.com/UV0B2,"ESKZA,C6YD9",692,Article_2YX48,General,English,Author_BBBKK
N8C7WR6S,How can I get a refund?,Orders can be canceled within 24 hours.,Shipping,2023-12-01,Active,www.example.com/YV19K,"XD7B9,KCIVF",558,Article_F2VVX,General,French,Author_0VJZ1
26D3MXSF,How do I cancel my order?,Visit your account page.,Returns,2023-12-20,Active,www.example.com/23MSJ,"M2O28,PZQ0J",432,Article_Y7ZQZ,Product-related,French,Author_HVS4K
0MNPQ49E,How to track my order?,Orders can be canceled within 24 hours.,Order Management,2023-12-10,Active,www.example.com/YJQMH,"OWO7Q,EUBPL",203,Article_RZBLP,Product-related,English,Author_NO7N4
LE6VMVE1,How to track my order?,Visit your account page.,Returns,2023-12-20,Active,www.example.com/T22JA,"T7TVP,61O82",628,Article_EJFY0,Product-related,Spanish,Author_N6WZA
B80Y2OT0,How do I cancel my order?,Refund is processed in 3-5 business days.,Order Management,2023-12-10,Active,www.example.com/TE57J,"2FUWM,1YOC2",452,Article_7LJZS,General,English,Author_23TMB
LONBZRGS,How can I get a refund?,Orders can be canceled within 24 hours.,Shipping,2023-12-10,Inactive,www.example.com/CVCJ0,"7MLBR,H8PP6",428,Article_36T2C,Product-related,Spanish,Author_HESK5
1JML8DKU,How to track my order?,Visit your account page.,Shipping,2023-12-20,Active,www.example.com/B0OAV,"CK30S,U29PX",657,Article_OXRNW,General,English,Author_EKPFZ
ZM1CL0TH,How to track my order?,Visit your account page.,Order Management,2023-12-20,Inactive,www.example.com/51IVH,"3ENW6,27FTJ",691,Article_ZLKY2,Product-related,English,Author_7NX1I
W3BP05K9,How to track my order?,Refund is processed in 3-5 business days.,Returns,2023-12-20,Inactive,www.example.com/K38GA,"9JPX9,C40PH",708,Article_K2YWA,Product-related,English,Author_V62IW
M1BAT4YD,How do I cancel my order?,Orders can be canceled within 24 hours.,Order Management,2023-12-01,Inactive,www.example.com/ML4HL,"GBVND,CU5R7",579,Article_JDGVB,Product-related,French,Author_4OBAZ
8RM0O9PX,How do I cancel my order?,Visit your account page.,Returns,2023-12-01,Inactive,www.example.com/LHG7U,"01Q9N,6S5MH",963,Article_1391B,General,Spanish,Author_FZ49N
M0FK0MVL,How to track my order?,Refund is processed in 3-5 business days.,Shipping,2023-12-10,Active,www.example.com/DMCKG,"O5ISN,GUP37",823,Article_FJLZS,Product-related,Spanish,Author_7PCEL
VB3JOD7S,How do I cancel my order?,Visit your account page.,Returns,2023-12-20,Inactive,www.example.com/C9CWF,"B7DRA,HB16P",818,Article_1U08Z,General,Spanish,Author_HXIQR
Y0A74BV6,How do I cancel my order?,Refund is processed in 3-5 business days.,Order Management,2023-12-10,Inactive,www.example.com/NI1HL,"3WKHX,W5BZS",209,Article_YM4IL,Product-related,Spanish,Author_2M06O
ORD6PQGS,How do I cancel my order?,Orders can be canceled within 24 hours.,Order Management,2023-12-01,Active,www.example.com/H096V,"0WFSD,877PF",493,Article_HWL1G,Product-related,French,Author_FI5V4
W10LOEEA,How do I cancel my order?,Orders can be canceled within 24 hours.,Shipping,2023-12-20,Inactive,www.example.com/Q0S16,"I80KE,QH7TI",331,Article_X5OBO,Product-related,Spanish,Author_J5DFE
X5BW4BQ2,How to track my order?,Visit your account page.,Shipping,2023-12-10,Inactive,www.example.com/0BD7E,"9I0KW,YBNDL",687,Article_TSW7M,General,English,Author_CCG0N
RNYFH2FJ,How to track my order?,Orders can be canceled within 24 hours.,Order Management,2023-12-20,Active,www.example.com/JEAKG,"0ZMKR,I2WCC",683,Article_C8ZVW,Product-related,French,Author_T2ORH
U7CT6Q6E,How to track my order?,Refund is processed in 3-5 business days.,Shipping,2023-12-01,Inactive,www.example.com/JGQOX,"P90TK,L3ZX4",744,Article_ZHGY8,General,English,Author_30D8N
PIE0P1BP,How to track my order?,Refund is processed in 3-5 business days.,Order Management,2023-12-01,Inactive,www.example.com/ZMHGS,"2BFPR,C22RY",776,Article_MWBU2,General,Spanish,Author_VIJM5
UM4S0T4O,How do I cancel my order?,Orders can be canceled within 24 hours.,Shipping,2023-12-01,Inactive,www.example.com/FRXBA,"92KOJ,IMI2O",487,Article_LK8OZ,Product-related,Spanish,Author_OCQ8K
3Y9OG8K6,How can I get a refund?,Orders can be canceled within 24 hours.,Shipping,2023-12-20,Active,www.example.com/6SZO6,"1WC0D,LW5TT",582,Article_SJOR9,General,French,Author_65GZJ
JKFZM1TL,How can I get a refund?,Refund is processed in 3-5 business days.,Shipping,2023-12-10,Active,www.example.com/T12PM,"PR2KF,1CG79",791,Article_0FWMU,Product-related,French,Author_2P2RF
49TVZUHU,How can I get a refund?,Visit your account page.,Shipping,2023-12-20,Inactive,www.example.com/9WAJ8,"E1DEQ,Y3RZD",394,Article_7Q1XM,General,French,Author_FT4ZB
0LH044SI,How do I cancel my order?,Refund is processed in 3-5 business days.,Order Management,2023-12-10,Inactive,www.example.com/QEC6X,"MA1PZ,ETTID",240,Article_T8O4V,General,English,Author_LXHDD
K7LEWDW8,How to track my order?,Visit your account page.,Order Management,2023-12-10,Active,www.example.com/5E8ED,"8MQSD,A5Q9Z",137,Article_30OW8,General,English,Author_H5716
WZBL6YAS,How do I cancel my order?,Visit your account page.,Returns,2023-12-20,Active,www.example.com/0U3IM,"IQTY4,1B581",135,Article_AUJZM,General,French,Author_V2H6O
TLMCMFO7,How to track my order?,Orders can be canceled within 24 hours.,Shipping,2023-12-20,Active,www.example.com/V9R0X,"WYGZ8,WFPDO",333,Article_HFMIU,Product-related,French,Author_UTPJ0
MF5RV8O7,How to track my order?,Orders can be canceled within 24 hours.,Shipping,2023-12-01,Inactive,www.example.com/1X00M,"4R0I2,TY32Q",210,Article_4KW6W,General,English,Author_B8B47
87WOUHFY,How can I get a refund?,Refund is processed in 3-5 business days.,Returns,2023-12-01,Inactive,www.example.com/M394F,"6RYYN,YAKFQ",660,Article_2EFTM,General,English,Author_SIFE9
WPXPJJDT,How to track my order?,Visit your account page.,Returns,2023-12-20,Inactive,www.example.com/7A8OQ,"CVG2K,P8MRH",443,Article_R18WZ,Product-related,Spanish,Author_7832A
OFML5Z90,How to track my order?,Visit your account page.,Order Management,2023-12-10,Active,www.example.com/CRVGZ,"EZ5SC,8WSUF",611,Article_U3DZJ,Product-related,French,Author_NRN8R
0SA6772D,How do I cancel my order?,Orders can be canceled within 24 hours.,Order Management,2023-12-10,Inactive,www.example.com/V9DR1,"15RFW,77TNL",400,Article_5OH4O,General,English,Author_TT4S2
